Achromobacter_insuavis	GCF_000219745.1_ASM21974v1_genomic
Bifidobacterium_myosotis	GCF_002259745.1_ASM225974v1_genomic
Bifidobacterium_pseudocatenulatum	GCF_001025215.1_ASM102521v1_genomic
Bifidobacterium_pseudolongum	GCF_000800475.2_ASM80047v2_genomic
Bifidobacterium_psychraerophilum	GCF_000741705.1_Bifpsy_genomic
Bifidobacterium_pullorum	GCF_000741335.1_Bifpul_genomic
Bifidobacterium_reuteri	GCF_000741695.1_Bifreu_genomic
Bifidobacterium_ruminantium	GCF_000741365.1_Bifrum_genomic
Bifidobacterium_saeculare	GCF_000741375.1_Bifsae_genomic
Bifidobacterium_saguini	GCF_000741715.1_Bifsag_genomic
Bifidobacterium_scardovii	GCF_001042635.1_ASM104263v1_genomic
Bifidobacterium_stellenboschense	GCF_000741785.1_Bifste_genomic
Bifidobacterium_stercoris	GCF_000741415.1_Bifste_genomic
Bifidobacterium_subtile	GCF_000741775.1_Bifsub_genomic
Bifidobacterium_thermacidophilum	GCF_000741445.1_Bifthe_sub.por_genomic
Bifidobacterium_thermophilum	GCF_000347695.1_ASM34769v1_genomic
Bifidobacterium_tissieri	GCF_002259645.1_ASM225964v1_genomic
Bifidobacterium_tsurumiense	GCF_000741765.1_Biftsu_genomic
Bifidobacterium_vansinderenii	GCF_002234915.1_BbifTam10Bv1_genomic
Bordetella_ansorpii	GCF_900078705.1_H050680373_genomic
Bordetella_avium	GCF_000070465.1_ASM7046v1_genomic
Bordetella_bronchialis	GCF_001676705.1_ASM167670v1_genomic
Bordetella_bronchiseptica	GCF_000318015.1_ASM31801v1_genomic
Bordetella_flabilis	GCF_001676725.1_ASM167672v1_genomic
Bordetella_genomosp.	GCF_002119665.1_ASM211966v1_genomic
Bordetella_hinzii	GCF_001078275.1_ASM107827v1_genomic
Bordetella_holmesii	GCF_000612485.1_ASM61248v1_genomic
Bordetella_holmseii	GCF_000649065.1_gbb55v01_genomic
Bordetella_parapertussis	GCF_000195695.1_ASM19569v1_genomic
Bordetella_pertussis	GCF_000195715.1_ASM19571v1_genomic
Bordetella_petrii	GCF_000067205.1_ASM6720v1_genomic
Bordetella_pseudohinzii	GCF_001698185.1_ASM169818v1_genomic
Bordetella_trematum	GCF_900078695.1_H044680328_genomic
Borrelia_afzelii	GCF_000304735.1_ASM30473v1_genomic
Borrelia_anserina	GCF_001936255.1_ASM193625v1_genomic
Borrelia_burgdorferi	GCF_000444465.1_ASM44446v1_genomic
Borrelia_coriaceae	GCF_000518125.1_ASM51812v1_genomic
Borrelia_crocidurae	GCF_000259345.1_ASM25934v1_genomic
Borrelia_duttonii	GCF_000019685.1_ASM1968v1_genomic
Borrelia_garinii	GCF_000300045.1_ASM30004v1_genomic
Borrelia_hermsii	GCF_000956315.1_ASM95631v1_genomic
Borrelia_hispanica	GCF_000500065.1_AB2_genomic
Borrelia_mayonii	GCF_001936295.1_ASM193629v1_genomic
Borrelia_miyamotoi	GCF_000807295.1_ASM80729v1_genomic
Borrelia_parkeri	GCF_000512145.1_ASM51214v2_genomic
Borrelia_persica	GCF_000500045.1_AB6.5.1_genomic
Borrelia_recurrentis	GCF_000019705.1_ASM1970v1_genomic
Borrelia_turicatae	GCF_000012085.2_ASM1208v2_genomic
Brachyspira_alvinipulli	GCF_000518245.1_ASM51824v1_genomic
Brachyspira_hampsonii	GCF_000316195.1_ASM31619v1_genomic
Brachyspira_innocens	GCF_000384655.1_ASM38465v1_genomic
Brachyspira_intermedia	GCF_000223215.1_ASM22321v1_genomic
Brachyspira_murdochii	GCF_000092845.1_ASM9284v1_genomic
Brachyspira_pilosicoli	GCF_000325665.1_ASM32566v1_genomic
Brachyspira_suanatina	GCF_001049755.1_BRSU_AN4859_03_genomic
Bradyrhizobium_arachidis	GCF_900116675.1_IMG-taxon_2654588141_annotated_assembly_genomic
Bradyrhizobium_canariense	GCA_900105125.1_IMG-taxon_2693430033_annotated_assembly_genomic
Bradyrhizobium_diazoefficiens	GCF_000011365.1_ASM1136v1_genomic
Bradyrhizobium_elkanii	GCF_000379145.1_ASM37914v1_genomic
Bradyrhizobium_embrapense	GCF_001189235.2_ASM118923v2_genomic
Bradyrhizobium_erythrophlei	GCF_900142985.1_IMG-taxon_2695420919_annotated_assembly_genomic
Bradyrhizobium_genosp.	GCF_000473125.1_ASM47312v1_genomic
Bradyrhizobium_icense	GCF_001693385.1_ASM169338v1_genomic
Bradyrhizobium_jicamae	GCF_001440395.1_ASM144039v1_genomic
Bradyrhizobium_lablabi	GCF_900141755.1_IMG-taxon_2698536816_annotated_assembly_genomic
Bradyrhizobium_liaoningense	GCF_001595995.1_ASM159599v1_genomic
Bradyrhizobium_lupini	GCF_000304595.1_ASM30459v1_genomic
Bradyrhizobium_manausense	GCF_001440035.1_ABySSBR3351v1_genomic
Bradyrhizobium_mercantei	GCF_001982635.1_ASM198263v1_genomic
Bradyrhizobium_neotropicale	GCF_001641695.1_ASM164169v1_genomic
Bradyrhizobium_oligotrophicum	GCF_000344805.1_ASM34480v1_genomic
Bradyrhizobium_ottawaense	GCF_900099825.1_IMG-taxon_2693430034_annotated_assembly_genomic
Bradyrhizobium_pachyrhizi	GCF_001440015.1_BR3262k88v1_genomic
Bradyrhizobium_paxllaeri	GCF_001693515.1_ASM169351v1_genomic
Bradyrhizobium_retamae	GCF_001440415.1_ASM144041v1_genomic
Bradyrhizobium_stylosanthis	GCF_001641335.1_ASM164133v1_genomic
Bradyrhizobium_tropiciagri	GCF_001189845.1_ASM118984v1_genomic
Bradyrhizobium_valentinum	GCF_001440405.1_ASM144040v1_genomic
Bradyrhizobium_viridifuturi	GCF_001238275.1_ASM123827v1_genomic
Bradyrhizobium_yuanmingense	GCF_001439885.1_ABySSBR3267_genomic
Brucella_abortus	GCF_000742195.1_ASM74219v1_genomic
Brucella_canis	GCF_000018525.1_ASM1852v1_genomic
Brucella_ceti	GCF_000590795.1_ASM59079v1_genomic
Brucella_inopinata	GCF_000182725.1_ASM18272v1_genomic
Brucella_melitensis	GCF_000007125.1_ASM712v1_genomic
Brucella_microti	GCF_000022745.1_ASM2274v1_genomic
Brucella_neotomae	GCF_000742255.1_ASM74225v1_genomic
Brucella_ovis	GCF_000016845.1_ASM1684v1_genomic
Brucella_pinnipedialis	GCF_000221005.1_ASM22100v1_genomic
Brucella_suis	GCF_000742055.1_ASM74205v1_genomic
Brucella_vulpis	GCF_900000005.1_BVF60_genomic
Burkholderia_ambifaria	GCF_000019925.1_ASM1992v1_genomic
Burkholderia_anthina	GCF_001547525.1_ASM154752v1_genomic
Burkholderia_cenocepacia	GCF_001999785.1_ASM199978v1_genomic
Burkholderia_cepacia	GCF_000974835.2_ASM97483v2_genomic
Burkholderia_contaminans	GCF_001029145.1_ASM102914v1_genomic
Burkholderia_diffusa	GCF_001718315.1_ASM171831v1_genomic
Burkholderia_dolosa	GCF_000959505.1_ASM95950v1_genomic
Burkholderia_gladioli	GCF_002393425.1_ASM239342v1_genomic
Burkholderia_glumae	GCF_000835205.1_ASM83520v1_genomic
Burkholderia_humptydooensis	GCF_001462435.1_ASM146243v1_genomic
Burkholderia_lata	GCF_000012945.1_ASM1294v1_genomic
Burkholderia_latens	GCF_001718795.1_ASM171879v1_genomic
Burkholderia_mallei	GCF_000757315.2_BMZ_2_genomic
Burkholderia_metallica	GCF_001718555.1_ASM171855v1_genomic
Burkholderia_multivorans	GCF_000756005.1_ASM75600v1_genomic
Burkholderia_oklahomensis	GCF_000755985.1_ASM75598v1_genomic
Burkholderia_paludis	GCF_000732615.1_ASM73261v1_genomic
Burkholderia_plantarii	GCF_001411805.1_ASM141180v1_genomic
Burkholderia_pseudomallei	GCF_000774885.1_BPX_genomic
Burkholderia_pseudomultivorans	GCF_001718415.1_ASM171841v1_genomic
Burkholderia_pyrrocinia	GCF_001028665.1_ASM102866v1_genomic
Burkholderia_seminalis	GCF_001718535.1_ASM171853v1_genomic
Burkholderia_singularis	GCF_001523725.1_ASM152372v1_genomic
Burkholderia_stabilis	GCF_001742165.1_ASM174216v1_genomic
Burkholderia_stagnalis	GCF_001718955.1_ASM171895v1_genomic
Burkholderia_territorii	GCF_001718335.1_ASM171833v1_genomic
Burkholderia_thailandensis	GCF_000012365.1_ASM1236v1_genomic
Burkholderia_ubonensis	GCF_000959245.1_ASM95924v1_genomic
Burkholderia_vietnamiensis	GCF_001718775.1_ASM171877v1_genomic
Campylobacter_avium	GCF_002238335.1_ASM223833v1_genomic
Campylobacter_coli	GCF_002024185.1_ASM202418v1_genomic
Campylobacter_concisus	GCF_001298465.1_ASM129846v1_genomic
Campylobacter_corcagiensis	GCF_000597805.1_Ccorc1.0_genomic
Campylobacter_cuniculorum	GCF_002104335.1_ASM210433v1_genomic
Campylobacter_curvus	GCF_000017465.2_ASM1746v2_genomic
Campylobacter_gracilis	GCF_001190745.1_ASM119074v1_genomic
Campylobacter_helveticus	GCF_002080395.1_ASM208039v1_genomic
Campylobacter_hepaticus	GCF_001687475.1_ASM168747v1_genomic
Campylobacter_hominis	GCF_000017585.1_ASM1758v1_genomic
Campylobacter_hyointestinalis	GCF_001643955.1_ASM164395v1_genomic
Campylobacter_iguaniorum	GCF_001483985.1_ASM148398v1_genomic
Campylobacter_insulaenigrae	GCF_000816185.1_ASM81618v1_genomic
Campylobacter_jejuni	GCF_000009085.1_ASM908v1_genomic
Campylobacter_lanienae	GCA_002139935.1_ASM213993v1_genomic
Campylobacter_lari	GCF_000816225.1_ASM81622v1_genomic
Campylobacter_mucosalis	GCF_000705255.1_Campylobacter_9_barcode_genomic
Campylobacter_ornithocola	GCF_001705345.1_ASM170534v1_genomic
Campylobacter_peloridis	GCF_000816785.1_ASM81678v1_genomic
Campylobacter_pinnipediorum	GCF_002021925.1_ASM202192v1_genomic
Campylobacter_rectus	GCF_000174175.1_ASM17417v1_genomic
Campylobacter_showae	GCF_000313615.1_Velvet_assembly_of_Campylobacter_showae_CSUNSWCD_genomic
Campylobacter_sputorum	GCF_002220735.1_ASM222073v1_genomic
Campylobacter_subantarcticus	GCF_000816265.1_ASM81626v1_genomic
Campylobacter_upsaliensis	GCF_000185345.1_ASM18534v1_genomic
Campylobacter_ureolyticus	GCF_001190755.1_ASM119075v1_genomic
Campylobacter_volucris	GCF_000816345.1_ASM81634v1_genomic
Chlamydia_abortus	GCF_000026025.1_ASM2602v1_genomic
Chlamydia_avium	GCF_000583875.1_ASM58387v1_genomic
Chlamydia_felis	GCF_000009945.1_ASM994v1_genomic
Chlamydia_gallinacea	GCF_000471025.2_ASM47102v2_genomic
Chlamydia_ibidis	GCF_000454725.1_ibidis.assembly_genomic
Chlamydia_pecorum	GCF_000470765.1_ASM47076v1_genomic
Chlamydia_pneumoniae	GCF_001007025.1_Wien1_genomic
Chlamydia_psittaci	GCF_000270385.1_ASM27038v1_genomic
Chlamydia_suis	GCF_900149385.1_4-29b_genomic
Chlamydia_trachomatis	GCF_000008725.1_ASM872v1_genomic
Clostridium_aceticum	GCF_001042715.1_ASM104271v1_genomic
Clostridium_acetireducens	GCF_001758365.1_ASM175836v1_genomic
Clostridium_acetobutylicum	GCF_000008765.1_ASM876v1_genomic
Clostridium_acidisoli	GCF_900176305.1_IMG-taxon_2585428079_annotated_assembly_genomic
Clostridium_akagii	GCF_000686725.1_ASM68672v1_genomic
Clostridium_algidicarnis	GCF_000703125.1_ASM70312v1_genomic
Clostridium_amylolyticum	GCF_900142075.1_IMG-taxon_2703719061_annotated_assembly_genomic
Clostridium_arbusti	GCF_000246895.1_ASM24689v2_genomic
Clostridium_argentinense	GCF_002074155.1_ASM207415v1_genomic
Clostridium_aurantibutyricum	GCF_002006235.1_ASM200623v1_genomic
Clostridium_autoethanogenum	GCF_000484505.1_ASM48450v1_genomic
Clostridium_baratii	GCF_000789395.1_ASM78939v1_genomic
Clostridium_bartlettii	GCA_000433835.1_MGS1329_genomic
Clostridium_beijerinckii	GCF_000833105.2_ASM83310v2_genomic
Clostridium_bolteae	GCF_000431175.1_MGS59_genomic
Clostridium_bornimense	GCF_000577895.1_M2_40_genomic
Clostridium_botulinum	GCF_000017045.1_ASM1704v1_genomic
Clostridium_butyricum	GCF_001456065.2_ASM145606v2_genomic
Clostridium_cadaveris	GCF_000424205.1_ASM42420v1_genomic
Clostridium_caminithermale	GCF_900142245.1_IMG-taxon_2585428176_annotated_assembly_genomic
Clostridium_carboxidivorans	GCF_001038625.1_ASM103862v1_genomic
Clostridium_cavendishii	GCF_900141845.1_IMG-taxon_2585428089_annotated_assembly_genomic
Clostridium_celatum	GCF_000320405.1_ASM32040v1_genomic
Clostridium_cellulovorans	GCF_000145275.1_ASM14527v1_genomic
Clostridium_chauvoei	GCF_900168365.1_JF4335_genomic
Clostridium_chromiireducens	GCF_002029255.1_ASM202925v1_genomic
Clostridium_clostridioforme	GCF_000438215.1_MGS511_genomic
Clostridium_cochlearium	GCF_900187165.1_52121_G02_genomic
Clostridium_colicanis	GCF_000371465.1_Clos_coli_209318_V1_genomic
Clostridium_collagenovorans	GCF_900130005.1_IMG-taxon_2585428078_annotated_assembly_genomic
Clostridium_coskatii	GCF_001636835.1_ASM163683v1_genomic
Clostridium_cylindrosporum	GCF_001047375.1_ASM104737v1_genomic
Clostridium_diolis	GCF_002176895.1_ASM217689v1_genomic
Clostridium_disporicum	GCF_001405015.1_13470_2_75_genomic
Clostridium_drakei	GCF_000633595.2_ASM63359v2_genomic
Clostridium_estertheticum	GCF_001877035.1_ASM187703v1_genomic
Clostridium_fallax	GCF_900129365.1_IMG-taxon_2695420941_annotated_assembly_genomic
Clostridium_felsineum	GCF_002006355.1_ASM200635v1_genomic
Clostridium_formicaceticum	GCF_001854185.1_ASM185418v1_genomic
Clostridium_frigidicarnis	GCF_900111985.1_IMG-taxon_2634166358_annotated_assembly_genomic
Clostridium_gasigenes	GCF_900104115.1_IMG-taxon_2634166322_annotated_assembly_genomic
Clostridium_grantii	GCF_900129965.1_IMG-taxon_2585428070_annotated_assembly_genomic
Clostridium_haemolyticum	GCF_000724225.2_NCTC9693_1.0_genomic
Clostridium_hathewayi	GCF_000433395.1_MGS224_genomic
Clostridium_homopropionicum	GCF_900113195.1_IMG-taxon_2622736521_annotated_assembly_genomic
Clostridium_hydrogeniformans	GCF_000686705.1_ASM68670v1_genomic
Clostridium_ihumii	GCF_000612845.1_AP5T_genomic
Clostridium_intestinale	GCF_000469625.2_ASM46962v2_genomic
Clostridium_jeddahense	GCF_000577335.1_JCD_genomic
Clostridium_kluyveri	GCF_000016505.1_ASM1650v1_genomic
Clostridium_lentocellum	GCF_000178835.2_ASM17883v2_genomic
Clostridium_leptum	GCF_000431955.1_MGS27_genomic
Clostridium_ljungdahlii	GCF_000143685.1_ASM14368v1_genomic
Clostridium_lundense	GCF_000619945.1_ASM61994v1_genomic
Clostridium_magnum	GCF_001623875.1_ASM162387v1_genomic
Clostridium_massiliodielmoense	GCF_900176615.1_PRJEB20368_genomic
Clostridium_mediterraneense	GCF_900091705.1_PRJEB14542_genomic
Clostridium_merdae	GCF_900176635.1_PRJEB20369_genomic
Clostridium_neonatale	GCF_001458595.1_Clostridium_neonatale_genomic
Clostridium_nexile	GCF_000431655.1_MGS348_genomic
Clostridium_novyi	GCF_000014125.1_ASM1412v1_genomic
Clostridium_orbiscindens	GCF_000760655.1_Clos_orbi_1_3_50AFAA_V1_genomic
Clostridium_oryzae	GCF_002029235.1_ASM202923v1_genomic
Clostridium_paraputrificum	GCF_001404795.1_13470_2_76_genomic
Clostridium_pasteurianum	GCF_000807255.1_ASM80725v1_genomic
Clostridium_perfringens	GCF_000013285.1_ASM1328v1_genomic
Clostridium_phoceensis	GCF_001244495.1_Clostridium_phoceensis_genomic
Clostridium_polynesiense	GCF_000820705.1_Clostridium_polynesiense_str._MS1_genomic
Clostridium_puniceum	GCF_002006345.1_ASM200634v1_genomic
Clostridium_ragsdalei	GCF_001675165.1_ASM167516v1_genomic
Clostridium_roseum	GCF_002006215.1_ASM200621v1_genomic
Clostridium_saccharobutylicum	GCF_000473995.1_ASM47399v1_genomic
Clostridium_saccharoperbutylacetonicum	GCF_000340885.1_ASM34088v1_genomic
Clostridium_sartagoforme	GCF_000401215.1_CloSarAAU1_genomic
Clostridium_saudiense	GCF_000577815.1_JCC_genomic
Clostridium_scatologenes	GCF_000968375.1_ASM96837v1_genomic
Clostridium_senegalense	GCF_000285575.1_ASM28557v1_genomic
Clostridium_septicum	GCF_900092375.1_PRJEB146921_genomic
Clostridium_sporogenes	GCF_000973705.1_ASM97370v1_genomic
Clostridium_sulfidigenes	GCA_002380815.1_ASM238081v1_genomic
Clostridium_taeniosporum	GCF_001735765.1_ASM173576v1_genomic
Clostridium_tepidiprofundi	GCF_001594005.1_ASM159400v1_genomic
Clostridium_tepidum	GCF_002008345.1_ASM200834v1_genomic
Clostridium_tetani	GCF_000007625.1_ASM762v1_genomic
Clostridium_tetanomorphum	GCF_000647895.1_CTM1.0_genomic
Clostridium_thermobutyricum	GCF_002050515.1_ASM205051v1_genomic
Clostridium_tunisiense	GCA_002367115.1_ASM236711v1_genomic
Clostridium_tyrobutyricum	GCF_001642655.1_ASM164265v1_genomic
Clostridium_uliginosum	GCF_900112485.1_IMG-taxon_2675903229_annotated_assembly_genomic
Clostridium_ventriculi	GCF_001404895.1_13470_2_77_genomic
Comamonas_aquatica	GCF_000935165.2_ASM93516v2_genomic
Comamonas_badia	GCF_000484635.1_ASM48463v1_genomic
Comamonas_composti	GCF_000429845.1_ASM42984v1_genomic
Comamonas_granuli	GCF_000739995.1_ASM73999v1_genomic
Comamonas_kerstersii	GCF_002056725.1_ASM205672v1_genomic
Comamonas_serinivorans	GCF_002158865.1_ASM215886v1_genomic
Comamonas_terrae	GCF_001544075.1_ASM154407v1_genomic
Comamonas_terrigena	GCF_001515545.1_ASM151554v1_genomic
Comamonas_thiooxydans	GCF_001418295.1_ASM141829v1_genomic
Corynebacterium_accolens	GCF_000146485.1_ASM14648v1_genomic
Corynebacterium_afermentans	GCF_001639025.1_ASM163902v1_genomic
Corynebacterium_ammoniagenes	GCF_001941425.1_ASM194142v1_genomic
Corynebacterium_amycolatum	GCF_001722255.1_ASM172225v1_genomic
Corynebacterium_appendicis	GCF_900156665.1_IMG-taxon_2681813517_annotated_assembly_genomic
Corynebacterium_aquilae	GCF_001941445.1_ASM194144v1_genomic
Corynebacterium_argentoratense	GCF_000590555.1_ASM59055v1_genomic
Corynebacterium_atypicum	GCF_000732945.1_ASM73294v1_genomic
Corynebacterium_aurimucosum	GCF_000022905.1_ASM2290v1_genomic
Corynebacterium_auriscanis	GCF_000767255.1_ASM76725v1_genomic
Corynebacterium_bouchesdurhonense	GCF_900078305.2_PRJEB13138_genomic
Corynebacterium_bovis	GCF_000183325.1_ASM18332v1_genomic
Corynebacterium_callunae	GCF_000344785.1_ASM34478v1_genomic
Corynebacterium_camporealensis	GCF_000980815.1_ASM98081v1_genomic
Corynebacterium_capitovis	GCF_000372085.1_ASM37208v1_genomic
Corynebacterium_casei	GCF_000550785.1_ASM55078v1_genomic
Corynebacterium_caspium	GCF_000379705.1_ASM37970v1_genomic
Corynebacterium_ciconiae	GCF_000372385.1_ASM37238v1_genomic
Corynebacterium_coyleae	GCF_900105505.1_IMG-taxon_2634166170_annotated_assembly_genomic
Corynebacterium_crenatum	GCF_000380545.1_contig_genomic
Corynebacterium_crudilactis	GCF_001643015.1_ASM164301v1_genomic
Corynebacterium_cystitidis	GCF_900187295.1_52191_E01_genomic
Corynebacterium_deserti	GCF_001277995.1_ASM127799v1_genomic
Corynebacterium_diphtheriae	GCF_001457455.1_NCTC11397_genomic
Corynebacterium_doosanense	GCF_000767055.1_ASM76705v1_genomic
Corynebacterium_durum	GCF_000318135.1_ASM31813v1_genomic
Corynebacterium_efficiens	GCF_000011305.1_ASM1130v1_genomic
Corynebacterium_epidermidicanis	GCF_001021025.1_ASM102102v1_genomic
Corynebacterium_falsenii	GCF_000525655.1_ASM52565v1_genomic
Corynebacterium_flavescens	GCF_001941465.1_ASM194146v1_genomic
Corynebacterium_fournierii	GCF_900176865.1_PRJEB20393_genomic
Corynebacterium_frankenforstense	GCF_001941485.1_ASM194148v1_genomic
Corynebacterium_freiburgense	GCF_000428805.1_ASM42880v1_genomic
Corynebacterium_freneyi	GCF_000758965.1_04_NF_x40_HMP1650v01_genomic
Corynebacterium_genitalium	GCF_000143825.1_ASM14382v1_genomic
Corynebacterium_glaucum	GCF_002287505.1_ASM228750v1_genomic
Corynebacterium_glucuronolyticum	GCF_900176155.1_IMG-taxon_2529292557_annotated_assembly_genomic
Corynebacterium_glutamicum	GCF_000011325.1_ASM1132v1_genomic
Corynebacterium_glyciniphilum	GCF_000626675.1_ASM62667v1_genomic
Corynebacterium_halotolerans	GCF_000341345.1_ASM34134v1_genomic
Corynebacterium_humireducens	GCF_000819445.1_ASM81944v1_genomic
Corynebacterium_ihumii	GCF_000403725.1_GD7_genomic
Corynebacterium_imitans	GCF_000739455.1_ASM73945v1_genomic
Corynebacterium_jeddahense	GCF_000577555.1_JCB_genomic
Corynebacterium_jeikeium	GCF_002209185.1_ASM220918v1_genomic
Corynebacterium_kefirresidentii	GCF_002154655.1_ASM215465v1_genomic
Corynebacterium_kroppenstedtii	GCF_000023145.1_ASM2314v1_genomic
Corynebacterium_kutscheri	GCF_000980835.1_ASM98083v1_genomic
Corynebacterium_lactis	GCF_001274895.1_ASM127489v1_genomic
Corynebacterium_lipophiloflavum	GCF_000159635.1_ASM15963v1_genomic
Corynebacterium_lowii	GCF_001412085.1_ASM141208v1_genomic
Corynebacterium_lubricantis	GCF_000379425.1_ASM37942v1_genomic
Corynebacterium_marinum	GCF_000835165.1_ASM83516v1_genomic
Corynebacterium_maris	GCF_000442645.1_ASM44264v1_genomic
Corynebacterium_massiliense	GCF_000420605.1_ASM42060v1_genomic
Corynebacterium_mastitidis	GCF_000375365.1_ASM37536v1_genomic
Corynebacterium_matruchotii	GCF_000175375.1_ASM17537v1_genomic
Corynebacterium_minutissimum	GCF_000805675.1_ASM80567v1_genomic
Corynebacterium_mustelae	GCF_001020985.1_ASM102098v1_genomic
Corynebacterium_mycetoides	GCF_900103625.1_IMG-taxon_2634166344_annotated_assembly_genomic
Corynebacterium_nuruki	GCF_000213935.1_ASM21393v1_genomic
Corynebacterium_oculi	GCF_001412105.1_ASM141210v1_genomic
Corynebacterium_phocae	GCF_001941565.1_ASM194156v1_genomic
Corynebacterium_phoceense	GCF_900092335.1_PRJEB14666_genomic
Corynebacterium_pilosum	GCF_001044155.1_ASM104415v1_genomic
Corynebacterium_pollutisoli	GCF_900177745.1_IMG-taxon_2708742385_annotated_assembly_genomic
Corynebacterium_propinquum	GCF_000375525.1_ASM37552v1_genomic
Corynebacterium_provencense	GCF_900049755.1_PRJEB12691_genomic
Corynebacterium_pseudodiphtheriticum	GCF_000688415.1_ASM68841v1_genomic
Corynebacterium_pseudogenitalium	GCF_000156615.2_ASM15661v2_genomic
Corynebacterium_pseudotuberculosis	GCF_000144675.1_ASM14467v1_genomic
Corynebacterium_pyruviciproducens	GCF_000411375.1_Cory_pyru_17730_V1_genomic
Corynebacterium_renale	GCF_001044175.1_ASM104417v1_genomic
Corynebacterium_resistens	GCF_000177535.2_ASM17753v2_genomic
Corynebacterium_riegelii	GCF_001263755.1_ASM126375v1_genomic
Corynebacterium_simulans	GCF_001586215.1_ASM158621v1_genomic
Corynebacterium_singulare	GCF_000833575.1_ASM83357v1_genomic
Corynebacterium_sphenisci	GCF_001941505.1_ASM194150v1_genomic
Corynebacterium_spheniscorum	GCF_900113445.1_IMG-taxon_2599185219_annotated_assembly_genomic
Corynebacterium_sputi	GCF_000427865.1_ASM42786v1_genomic
Corynebacterium_stationis	GCF_001561975.1_ASM156197v1_genomic
Corynebacterium_striatum	GCF_002156805.1_ASM215680v1_genomic
Corynebacterium_terpenotabidum	GCF_000418365.1_ASM41836v1_genomic
Corynebacterium_testudinoris	GCF_001021045.1_ASM102104v1_genomic
Corynebacterium_timonense	GCF_900105305.1_IMG-taxon_2636416018_annotated_assembly_genomic
Corynebacterium_tuberculostearicum	GCF_000175635.1_ASM17563v1_genomic
Corynebacterium_tuscaniense	GCF_000759055.1_04_NF40_HMP2129v01_genomic
Corynebacterium_ulcerans	GCF_000215645.1_ASM21564v1_genomic
Corynebacterium_ulceribovis	GCF_000372445.1_ASM37244v1_genomic
Corynebacterium_urealyticum	GCF_000069945.1_ASM6994v1_genomic
Corynebacterium_ureicelerivorans	GCF_000747315.1_ASM74731v1_genomic
Corynebacterium_urinapleomorphum	GCF_900155535.1_ASM90015553v1_genomic
Corynebacterium_uterequi	GCF_001021065.1_ASM102106v1_genomic
Corynebacterium_variabile	GCF_000179395.2_ASM17939v2_genomic
Corynebacterium_vitaeruminis	GCF_000550805.1_ASM55080v1_genomic
Corynebacterium_xerosis	GCF_001552415.1_ASM155241v1_genomic
Coxiella_endosymbiont	GCF_000815025.1_ASM81502v1_genomic
Cronobacter_condimenti	GCF_001277255.1_ASM127725v1_genomic
Cronobacter_dublinensis	GCF_001277235.1_ASM127723v1_genomic
Cronobacter_malonaticus	GCF_000504545.1_ASM50454v1_genomic
Cronobacter_muytjensii	GCF_001277195.1_ASM127719v1_genomic
Cronobacter_turicensis	GCF_000027065.2_ASM2706v1_genomic
Cronobacter_universalis	GCF_001277175.1_ASM127717v1_genomic
Elizabethkingia_endophytica	GCF_002022045.1_ASM202204v1_genomic
Elizabethkingia_genomosp.	GCF_002022125.1_ASM202212v1_genomic
Elizabethkingia_meningoseptica	GCF_002022105.1_ASM202210v1_genomic
Elizabethkingia_miricola	GCF_000955665.1_ASM95566v1_genomic
Enterobacter_asburiae	GCF_000632395.1_ASM63239v1_genomic
Enterobacter_bugandensis	GCF_900185975.1_E_bugandensis_EB-247T_genomic
Enterobacter_cancerogenus	GCF_000155995.1_ASM15599v1_genomic
Enterobacter_cloacae	GCF_000235765.1_ASM23576v3_genomic
Enterobacter_hormaechei	GCF_001729725.1_ASM172972v1_genomic
Enterobacter_kobei	GCF_001729765.1_ASM172976v1_genomic
Enterobacter_lignolyticus	GCF_000164865.1_ASM16486v1_genomic
Enterobacter_ludwigii	GCF_001750725.1_ASM175072v1_genomic
Enterobacter_massiliensis	GCF_000321045.1_ASM32104v2_genomic
Enterobacter_soli	GCF_001654845.1_EsoBAA2102_DRAFTv1_genomic
Enterobacter_timonensis	GCF_900021175.1_Enterobacter_timonensis_genomic
Enterobacter_xiangfangensis	GCF_001729785.1_ASM172978v1_genomic
Enterococcus_aquimarinus	GCF_001885765.1_ASM188576v1_genomic
Enterococcus_asini	GCF_000407365.1_Ente_asin_ATCC700915_V2_genomic
Enterococcus_avium	GCF_000407245.1_Ente_aviu_ATCC14025_V2_genomic
Enterococcus_caccae	GCF_000394055.1_Ente_cocc_BAA-1240_V1_genomic
Enterococcus_canintestini	GCF_002269685.1_ASM226968v1_genomic
Enterococcus_canis	GCF_001544375.1_ASM154437v1_genomic
Enterococcus_casseliflavus	GCF_000157355.2_ASM15735v2_genomic
Enterococcus_cecorum	GCF_001318405.1_ASM131840v1_genomic
Enterococcus_columbae	GCF_000406925.1_Ente_colu_ATCC51263_V1_genomic
Enterococcus_devriesei	GCF_001885905.1_ASM188590v1_genomic
Enterococcus_dispar	GCF_000406945.1_Ente_disp_ATCC51266_V1_genomic
Enterococcus_durans	GCF_002277935.1_ASM227793v1_genomic
Enterococcus_faecium	GCF_001298485.1_ASM129848v1_genomic
Enterococcus_flavescens	GCF_000407405.1_Ente_flav_ATCC49996_V2_genomic
Enterococcus_gallinarum	GCF_001558875.1_ASM155887v1_genomic
Enterococcus_gilvus	GCF_000407545.1_Ente_gilf_BAA-350_PQ1_CCUG_45553_V2_genomic
